"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Arpp21",2.25015148275135e-69,-0.37817326198611,1,1,4.14500404637626e-65
"Nptx1",2.57964231763608e-69,0.443303551114197,0.994,0.974,4.75195911331743e-65
"Ly6h",5.43023293885748e-69,0.319418714781369,1,0.996,1.00030320966694e-64
"mt-Nd1",5.82999352391889e-69,-0.279711769821989,1,1,1.0739431070411e-64
"Bhlhe40",2.93341024127645e-68,-0.615990868147825,0.169,0.73,5.40363500545536e-64
"Cpne4",3.57738170775853e-68,-0.777994745661152,0.184,0.7,6.58989484386199e-64
"Stmn4",4.42920574482712e-68,0.364332138127151,1,1,8.15903990254604e-64
"Tusc3",5.41054588943097e-68,0.484267567873425,0.997,0.974,9.96676658292079e-64
"Timp2",1.58237337768088e-67,-0.639892572156139,0.858,0.925,2.91488999902596e-63
"Tmem178",1.99327895090831e-67,0.574339529352721,0.972,0.723,3.6718191554682e-63
"Psmd14",2.35451867256333e-67,0.581051280351946,0.93,0.674,4.33725884672891e-63
"Tceal5",2.48486688589766e-67,0.450730167591319,0.985,0.91,4.57737329051207e-63
"Sema5b",3.43499384754468e-67,0.65218986906036,0.664,0.079,6.32760216656205e-63
"Plxna4",3.74586363193297e-67,-0.560687081620718,0.628,0.918,6.90025539638373e-63
"Efna5",1.49414280860014e-66,-0.597977495777987,0.126,0.67,2.75236046772232e-62
"Zbtb18",1.77534599928013e-66,-0.367680768942228,0.984,0.993,3.27036486527393e-62
"Cntnap4",2.17605302786449e-66,0.617102872976623,0.892,0.442,4.00850728262917e-62
"Prmt1",4.24001527703864e-66,0.575083283604439,0.915,0.547,7.81053214183288e-62
"Lrrtm2",6.50951610888242e-66,0.466071633182711,0.99,0.906,1.19911796241723e-61
"Syndig1",9.00550526113745e-66,-0.500869940934648,0.039,0.524,1.65890412415413e-61
"Crhr1",1.07311372154173e-65,-0.451836607027385,0.026,0.498,1.97678278645203e-61
"Ndufs8",1.79621644372987e-65,0.45078065363831,0.969,0.73,3.3088103109948e-61
"Btf3",1.82482029233985e-65,0.32596027488761,1,0.97,3.36150146051925e-61
"Foxp1",3.26655244040036e-65,-0.4584024003437,0.958,0.974,6.01731625046151e-61
"Glra2",4.89771476187284e-65,0.662127371650655,0.784,0.221,9.02208036284595e-61
"Atp6v1f",4.96367134575028e-65,0.288510594663457,0.999,0.993,9.14357898600659e-61
"Rraga",5.45873734689329e-65,0.479829361561884,0.991,0.94,1.00555400667121e-60
"Adora1",5.57029927180414e-65,0.565953564461933,0.988,0.873,1.02610482885904e-60
"H3f3a",7.14841542627215e-65,0.292663733417,1,0.993,1.31680960567359e-60
"Dscaml1",1.17503851445959e-64,0.541952618089041,0.762,0.176,2.16453844748601e-60
"Rab3a",1.66842967122623e-64,0.252406036108981,1,1,3.07341429736583e-60
"Ndufv2",1.66919936980872e-64,0.390217886798246,0.991,0.929,3.07483215912464e-60
"Etv1",1.77371488453424e-64,-1.15528581450538,0.46,0.625,3.26736018880052e-60
"Tspan17",2.86313375537423e-64,-0.568947654239622,0.426,0.861,5.27417869077487e-60
"Psma2",8.38628991168593e-64,0.428231243406619,0.993,0.918,1.54483846463166e-59
"Calm1",9.87892175847281e-64,0.360623919510748,1,1,1.81979617712828e-59
"Gstm5",1.3841600875125e-63,0.543682706739775,0.952,0.682,2.54976129720678e-59
"Uqcrc1",1.51351499866459e-63,0.599029122671069,0.961,0.824,2.78804597904003e-59
"Aig1",1.85651135345478e-63,0.45209554339017,0.984,0.79,3.41987956419904e-59
"Il1rapl2",1.90120143812936e-63,-0.471249989405082,0.006,0.412,3.5022031691781e-59
"Atp5o.1",2.34711020965699e-63,0.34756915194165,0.996,0.981,4.32361171720915e-59
"Bex2",2.43146113729173e-63,0.274858955745383,1,1,4.4789945610051e-59
"Gabra2",2.74212589035356e-63,-0.540105268215391,0.4,0.876,5.05127010262029e-59
"Enpp2",3.16894816883252e-63,-0.506809689820441,0.055,0.562,5.83751942180639e-59
"Ckmt1",6.16255712920988e-63,0.550490087362651,0.984,0.846,1.13520464877175e-58
"Rorb",2.44643827912713e-62,-0.998781380240222,0.088,0.547,4.50658395398009e-58
"Stxbp6",3.70318529129908e-62,-1.02572832113932,0.028,0.476,6.82163762510204e-58
"Cacna2d3",3.85444032889336e-62,-0.39822947363964,0.054,0.554,7.10026452985446e-58
"Zcchc12",4.26977062452342e-62,0.643824447805956,0.578,0.037,7.8653444674346e-58
"Cdc42",4.42311316261173e-62,0.283260604259073,0.999,1,8.14781675684707e-58
"Plxnd1",4.90162653566301e-62,-0.541890915182996,0.01,0.419,9.02928624134483e-58
"Lrfn5",5.05570072948351e-62,-0.385922742930455,0.936,0.981,9.31310631378157e-58
"Cfl1",6.43220226384047e-62,0.259090318798684,1,0.996,1.18487597902205e-57
"Psmc2",6.56961361129982e-62,0.700364506481283,0.92,0.596,1.21018852333754e-57
"Krt12",1.4556003808236e-61,-0.681853263705156,0.061,0.539,2.68136146151515e-57
"Capza2",1.82773766365512e-61,0.292786690601833,1,0.996,3.36687555021909e-57
"Plcl1",1.83188695239975e-61,-0.416153959209577,0.015,0.438,3.37451895501559e-57
"Ppm1h",1.9032059026899e-61,-0.464286462659936,0.564,0.899,3.50589559334507e-57
"Bsg",2.6877088528722e-61,0.31712085033121,1,1,4.95102847787587e-57
"Pcp4",2.98709890253306e-61,0.459457845489566,0.997,0.858,5.50253488835615e-57
"Gsta4",4.73602890017234e-61,0.65130758042338,0.762,0.236,8.72423883700748e-57
"Dpp6",7.50776687442406e-61,-0.474475896166234,0.638,0.94,1.38300573593766e-56
"Cdk2ap1",8.11776218808064e-61,-0.506408070432574,0.28,0.764,1.49537297266633e-56
"Mbp",9.16660542709271e-61,-0.543880199055191,0.327,0.824,1.68858038572475e-56
"Fam126b",9.44172206248968e-61,-0.384228323019101,0.98,0.996,1.73925962113122e-56
"Ptprt",1.15221248490237e-60,-0.608803242549104,0.458,0.899,2.12249061843866e-56
"Plcxd2",1.34326719693722e-60,-0.667602308693261,0.128,0.603,2.47443250347805e-56
"Rims3",1.55554838828252e-60,-0.583020930684721,0.315,0.772,2.86547568605522e-56
"Plxna2",1.67367451821079e-60,0.459533764836217,0.99,0.899,3.0830758299961e-56
"Galnt14",1.80233034195835e-60,-0.529288943523943,0.035,0.487,3.32007272292147e-56
"Psmd8",1.96838566228769e-60,0.458677348420548,0.977,0.813,3.62596322850015e-56
"Ankrd63",2.66151145979287e-60,0.575514362445537,0.55,0.03,4.90277026008444e-56
"Cpne9",5.86531644779612e-60,-0.483905317774596,0.019,0.446,1.08044994284852e-55
"Arxes1",5.97198989288094e-60,0.564849438130561,0.812,0.303,1.1001002581676e-55
"Spon1",6.63398768272862e-60,0.553849535921019,0.945,0.498,1.22204687103544e-55
"Clmp",8.06330901123973e-60,-0.476067334119893,0.02,0.446,1.48534215296047e-55
"Ndufb11",1.09361154103693e-59,0.305641809090039,0.999,0.985,2.01454181974413e-55
"Thsd7b",1.1332347027399e-59,0.524044301440265,0.578,0.049,2.08753164591717e-55
"Pgbd5",1.17177421495694e-59,-0.406571940130291,0.876,0.974,2.15852528137218e-55
"Nyap2",1.40065557017238e-59,-0.483853675412905,0.454,0.846,2.58014762581455e-55
"Atp6v0b",1.57148804911949e-59,0.282408801785188,1,1,2.89483813528301e-55
"Tmed9",1.68116663882502e-59,0.37788423648423,1,0.989,3.09687706537958e-55
"Zfp941",1.74849062224891e-59,-0.50760848694466,0.126,0.652,3.22089457524472e-55
"Cd81",2.90818668907848e-59,0.408906455161293,0.996,0.963,5.35717069995147e-55
"Fkbp3",3.3071950819237e-59,0.33767481883892,0.999,0.989,6.09218406041165e-55
"Hs6st2",6.53088151538576e-59,0.558421468410981,0.955,0.689,1.20305368394921e-54
"Arhgap25",7.57421783123109e-59,0.55749802625862,0.764,0.206,1.39524666669108e-54
"Prdx5",9.41148943074391e-59,0.307917610707396,0.999,0.985,1.73369046803733e-54
"Psma1",9.53981334079732e-59,0.392199001191884,0.988,0.921,1.75732901550827e-54
"Lypd1",1.87947848362268e-58,0.541961447003083,0.799,0.236,3.46218731468134e-54
"Slc26a4",2.01917036618959e-58,-0.438820570271957,0.012,0.412,3.71951373155784e-54
"Tmem50a",2.63746271266836e-58,0.35351813324233,0.996,0.978,4.85847006300639e-54
"Psmc4",3.97354188519701e-58,0.544772053113007,0.924,0.67,7.31966150672142e-54
"Ywhaq",5.64365639732845e-58,0.292481712873854,1,1,1.03961794495187e-53
"Pdzrn4",6.42014772989325e-58,0.546126765444297,0.809,0.288,1.18265541332364e-53
"Tmeff1",1.16837019312793e-57,-0.530398726648726,0.599,0.951,2.15225473276097e-53
"Dad1",1.21066584033255e-57,0.33270207950324,0.999,0.951,2.23016754447659e-53
"Cntnap5a",1.36524174791845e-57,-0.67741479589801,0.099,0.584,2.51491182384057e-53
"Cacna1b",1.57183248968484e-57,-0.411165832742204,0.723,0.97,2.89547262924845e-53
"Thrb",1.74169013084589e-57,-0.458135229269567,0.701,0.918,3.20836739003122e-53
"Bdnf",1.81965976188603e-57,-0.967940245167792,0.266,0.749,3.35199524737025e-53
"Uchl3",1.88172101724606e-57,0.49595060633379,0.926,0.625,3.46631828586896e-53
"Utrn",2.66021767171762e-57,-0.635139920247487,0.015,0.412,4.90038697307103e-53
"Gpr22",6.19682924865396e-57,-0.414723086160085,0.742,0.955,1.14151791589455e-52
"Hrh3",9.56753179500008e-57,-0.587166465059253,0.381,0.828,1.76243503195696e-52
"Dkkl1",1.05349625403904e-56,-0.588595303009534,0.152,0.655,1.94064544956532e-52
"Vsnl1",1.1403846229393e-56,0.28645709626832,1,1,2.10070251391649e-52
"Limk1",1.25879765466099e-56,0.564171064328827,0.8,0.3,2.31883115965102e-52
"Taldo1",3.28800459580306e-56,0.578066075068324,0.886,0.607,6.05683326592881e-52
"Fdps",3.91428326608475e-56,0.59690949323658,0.943,0.73,7.21050120445471e-52
"Ctsz",5.78157980939289e-56,0.539606777518909,0.747,0.213,1.06502481668826e-51
"Bmp1",5.95183154578362e-56,-0.419129062613036,0.038,0.476,1.0963868890488e-51
"Psmd6",6.51915304480732e-56,0.634155847690498,0.899,0.629,1.20089318238396e-51
"Igsf21",8.97004343076194e-56,0.506715344213218,0.912,0.524,1.65237170038066e-51
"Mctp1",1.08514661628631e-55,0.473348726883357,0.965,0.757,1.99894858186101e-51
"Rnf144a",1.12725011000075e-55,-0.489152692343337,0.124,0.614,2.07650742763238e-51
"Trbc2",1.20589556081705e-55,0.551454449285104,0.966,0.659,2.22138021258108e-51
"Dgkz",1.21706243118297e-55,-0.359071976126865,0.939,0.993,2.24195070448215e-51
"Prag1",1.28958768941972e-55,-0.377351495722397,0.006,0.371,2.37554948268007e-51
"Dnajb6",1.30232704485666e-55,0.270604280061676,0.999,1,2.39901664933045e-51
"Cflar",1.58723583251306e-55,-0.488125823264424,0.124,0.61,2.92384712707231e-51
"Kcna2",2.55792790752221e-55,-0.514553030519683,0.793,0.933,4.71195899844665e-51
"Nrp1",2.57801860255659e-55,0.52819586882264,0.836,0.33,4.7489680677695e-51
"Fam212b",3.41738015040593e-55,-0.433848122748426,0.673,0.925,6.29515597506276e-51
"Hdac9",3.73324512475761e-55,-0.543208957061705,0.166,0.644,6.87701084431599e-51
"Klhdc8a",4.18664978579104e-55,-0.579352252171656,0.083,0.528,7.71222757040568e-51
"Sorcs3",9.92558584882887e-55,-0.687101359471215,0.219,0.689,1.82839216921277e-50
"Pitpnc1",1.2550013449131e-54,0.634083628987363,0.855,0.375,2.31183797746442e-50
"Arpc1a",2.22550334839415e-54,0.392222771623436,0.997,0.966,4.09959971807687e-50
"Nsmce4a",3.13249038827441e-54,0.508299180635284,0.873,0.479,5.77036054424029e-50
"Adcyap1r1",4.31859153914001e-54,-0.525896764483238,0.277,0.738,7.95527747424982e-50
"Cpne6",6.39218332879027e-54,-0.502403554280137,0.35,0.734,1.17750409099646e-49
"Csnk2b",6.87033396082872e-54,0.448463713513893,0.965,0.783,1.26558421892426e-49
"Mapk4",7.6143705647979e-54,-0.411637898745348,0.051,0.487,1.40264320174142e-49
"Elmod1",1.10405992545438e-53,0.312175135338858,1,0.993,2.03378878867951e-49
"Ndufs7",1.7072807354567e-53,0.305416878819105,0.991,0.974,3.14498184278479e-49
"Bcl2",1.73729227287468e-53,0.571156805036781,0.891,0.524,3.20026609586245e-49
"Rheb",2.29254860502559e-53,0.29451961212983,0.999,0.993,4.22310378531764e-49
"Atp6v1e1",2.72007962906746e-53,0.270749852528702,0.999,1,5.01065868470516e-49
"Tbr1",3.80287333688959e-53,0.356975746150974,0.999,0.933,7.00527297388431e-49
"Galnt7",4.25776667322977e-53,-0.463517552108102,0.064,0.506,7.84323198875656e-49
"Dnajc21",5.96449905390883e-53,-0.523029013343357,0.555,0.843,1.09872037072054e-48
"Gng13",1.51785107968048e-52,-0.360629588530976,0.899,0.97,2.79603347387942e-48
"Eif3k",2.57756285484418e-52,0.325213958943476,0.997,0.963,4.74812853490847e-48
"Camk2n2",3.61909580916147e-52,-0.694481641782824,0.365,0.719,6.66673639005635e-48
"Mical2",3.65288550156276e-52,-0.365823844563922,0.854,0.966,6.72898038242877e-48
"Syn2",3.78934264611286e-52,-0.323768907160408,1,1,6.9803480884045e-48
"Serf2",4.62278094134631e-52,-0.258437036994722,0.999,0.993,8.51562477205403e-48
"Ppa1",4.73242163232681e-52,0.524460432533057,0.95,0.82,8.71759388890921e-48
