"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Arf1",2.92262775021313e-19,-0.270126748804457,0.992,1,5.38377257866761e-15
"Adrm1",3.03329779872265e-19,-0.471074043777656,0.377,0.806,5.58763787502699e-15
"Ift57",3.15638478247416e-19,-0.470477793089201,0.5,0.888,5.81437640779565e-15
"Idh3g",4.0300321681775e-19,-0.405153130357874,0.664,0.857,7.42372225699978e-15
"Nnmt",4.13739665820581e-19,0.356491049411343,0.311,0,7.62149838408092e-15
"Npy2r",4.13739665820587e-19,0.46023360715345,0.311,0,7.62149838408103e-15
"Klhdc2",4.16816408115036e-19,-0.407684750901341,0.811,0.954,7.67817505388707e-15
"Atraid",4.17790642321966e-19,-0.361579203519948,0.811,0.969,7.69612142221293e-15
"Uqcrfs1",4.98782428080811e-19,-0.361323474762081,0.902,0.985,9.18807110767663e-15
"Ube2s",5.33803615443562e-19,-0.315091089179769,0.926,0.995,9.83319640008585e-15
