"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hspd15",9.28330663975358e-08,0.295621676349722,0.936,0.905,0.00162281483369532,"MD","Hspd1"
"Cdh181",9.40425284522466e-08,0.329579602679741,0.399,0.236,0.00164395743987372,"MD","Cdh18"
"Cdc1232",9.47607280256433e-08,0.258448467470182,0.922,0.819,0.00165651228661627,"MD","Cdc123"
"Psmd113",9.73124337847729e-08,0.288341765195688,0.95,0.898,0.00170111865499161,"MD","Psmd11"
"Lman2l",1.01130762041845e-07,0.301633181592624,0.875,0.744,0.0017678668512535,"MD","Lman2l"
"Emc91",1.03942496368695e-07,0.348906507516664,0.815,0.672,0.00181701877902115,"MD","Emc9"
"Plekha71",1.07324820206152e-07,0.348988026618365,0.662,0.494,0.00187614518202373,"MD","Plekha7"
"Slc38a2",1.07963452520176e-07,0.335951259495069,0.925,0.849,0.0018873091135052,"MD","Slc38a2"
"Zbtb201",1.22845124294905e-07,0.301467393562377,0.31,0.161,0.00214745561779923,"MD","Zbtb20"
"Fxyd2",1.24142391356644e-07,0.341789757528368,0.516,0.338,0.00217013314330549,"MD","Fxyd2"
"Cblb1",1.29308903651209e-07,0.348996034861224,0.641,0.47,0.00226044894472679,"MD","Cblb"
"Apip1",1.30133246859502e-07,0.287626763991619,0.516,0.338,0.00227485928835095,"MD","Apip"
"Snx32",1.3118625660654e-07,0.32440694430696,0.808,0.684,0.00229326695173892,"MD","Snx32"
"Them62",1.34447181547795e-07,0.270214121419163,0.676,0.496,0.002350271180637,"MD","Them6"
"Trmt10c",1.36965048595459e-07,0.257627766997447,0.388,0.228,0.00239428601449722,"MD","Trmt10c"
"Tmem222",1.39049382588939e-07,0.251796232395257,0.957,0.89,0.00243072225703724,"MD","Tmem222"
"Hsd17b101",1.40470882992548e-07,0.350273946611684,0.69,0.569,0.00245557150559273,"MD","Hsd17b10"
"Pih1d11",1.41812144209509e-07,0.36498384136353,0.569,0.395,0.00247901809292643,"MD","Pih1d1"
