"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dnajb9",0.0546360988572595,-0.301207474348695,0.702,0.824,1
"Dcn",0.0550418409783993,0.691385154996487,0.103,0.02,1
"Slc26a8",0.0552306109115993,0.287831491676429,0.126,0.039,1
"Hist2h3c1",0.0553034348435663,-0.281647922015876,0.125,0.255,1
"Uhmk1",0.0561424058764414,0.263489057083463,0.956,0.98,1
"Rab11a",0.0567069713099539,-0.256812952482406,0.901,0.941,1
"Eif1ad",0.0574637702160206,0.258705707295445,0.763,0.745,1
"Clip3",0.057841553260094,0.252443983893832,0.99,1,1
"Ewsr1",0.0581564221586646,0.283439991424931,0.939,0.941,1
"Hs3st1",0.0586840018995539,0.296927980402811,0.12,0.039,1
"mt-Nd4l",0.058811791355816,0.268391635999812,0.997,1,1
"Plin3",0.0590046109026346,0.287861753933762,0.108,0.059,1
"Shc4",0.0590641974061033,0.305730863495494,0.121,0.039,1
"Crlf3",0.0591273016445821,0.26355647475248,0.242,0.216,1
"Apaf1",0.0595599840361702,0.400985983746811,0.338,0.255,1
"Ptpn23",0.0612215371129232,0.331786202811803,0.411,0.333,1
"6030408B16Rik",0.0615396771509029,0.38222706061359,0.167,0.098,1
"Gprasp2",0.0616179412930635,-0.306921438034893,0.697,0.824,1
"6430573F11Rik",0.0623581976390657,0.296722825520927,0.141,0.039,1
"Efcab10",0.0624600142677314,0.330646055405107,0.202,0.098,1
"Zfp65",0.0626831167253008,0.257965932247599,0.256,0.196,1
"Zmym6",0.0637647100183557,0.311999214587193,0.313,0.235,1
"Zbtb37",0.064434038487093,0.31425137998262,0.369,0.294,1
"Casp3",0.0647607923235039,0.296358309495281,0.199,0.118,1
"Nr6a1",0.0649796176962339,0.267287719630042,0.214,0.137,1
"Rfx3",0.0649850768491161,0.33590970022163,0.582,0.549,1
"Bicd1",0.0656257254284812,0.299161473897378,0.953,0.941,1
"Trpm3",0.0657290545601661,0.300068655796054,0.123,0.039,1
"Tgfbr1",0.0659757638800208,0.285093581573882,0.103,0.02,1
"Itpa",0.0673049112402295,-0.300243692854858,0.83,0.902,1
"Gpr153",0.0683739031431887,0.295976404581004,0.114,0.039,1
"Inhbb",0.0687766682613893,0.310345229215129,0.109,0.039,1
