"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ranbp6",3.13958019321642e-07,0.35009788364829,0.408,0.358,0.00608890182672393,"L5-Htr2c","Ranbp6"
"Phip1",3.15903296892224e-07,0.266871457308789,0.86,0.886,0.00612662853992779,"L5-Htr2c","Phip"
"Phlda11",3.31656894812772e-07,0.329554575009229,0.53,0.478,0.0064321538179989,"L5-Htr2c","Phlda1"
"Nsmce3",3.59789455204628e-07,0.328406595243759,0.573,0.567,0.00697775669423855,"L5-Htr2c","Nsmce3"
"Gpank1",4.2779910505185e-07,0.340889353284637,0.386,0.33,0.00829673584337558,"L5-Htr2c","Gpank1"
"Xxylt1",4.30908072818641e-07,0.318053474629481,0.417,0.37,0.00835703116424473,"L5-Htr2c","Xxylt1"
"Msh2",4.98634947700489e-07,0.382859341426479,0.374,0.32,0.00967052617570329,"L5-Htr2c","Msh2"
"Ppip5k1",5.26494724335007e-07,0.257158535042962,0.732,0.785,0.0102108386837531,"L5-Htr2c","Ppip5k1"
"Stat5b",5.27226773300785e-07,0.37577041335953,0.29,0.217,0.0102250360413954,"L5-Htr2c","Stat5b"
"Safb2",5.5293587542677e-07,0.282047702498444,0.645,0.667,0.0107236383680268,"L5-Htr2c","Safb2"
"Vwa5b22",5.53909944592026e-07,0.401892105705923,0.408,0.357,0.0107425294654178,"L5-Htr2c","Vwa5b2"
"Zfp444",5.63502483983812e-07,0.372557380582888,0.483,0.47,0.0109285671743821,"L5-Htr2c","Zfp444"
"Olfm21",5.67168437746446e-07,0.267047746709911,0.779,0.781,0.0109996646816546,"L5-Htr2c","Olfm2"
"Pgm2",5.8018262824834e-07,0.384704437853524,0.396,0.354,0.0112520618922483,"L5-Htr2c","Pgm2"
"Spata7",6.46048029348921e-07,0.258354368311569,0.738,0.793,0.012529455481193,"L5-Htr2c","Spata7"
"Rnf128",7.10845865365881e-07,0.382967320166241,0.393,0.339,0.0137861447129059,"L5-Htr2c","Rnf128"
"A230006K03Rik",7.40401507562766e-07,0.321778079071464,0.461,0.414,0.0143593468376723,"L5-Htr2c","A230006K03Rik"
"Ablim3",7.50554948395627e-07,0.31729239881311,0.361,0.302,0.0145562626691848,"L5-Htr2c","Ablim3"
"Aldh5a1",7.7278146181716e-07,0.322745744689787,0.514,0.507,0.014987323670482,"L5-Htr2c","Aldh5a1"
"Fhad1",8.38062529916478e-07,0.352233976189074,0.371,0.304,0.0162533847052002,"L5-Htr2c","Fhad1"
"Foxred1",8.47090454212473e-07,0.344956622968017,0.383,0.332,0.0164284722689967,"L5-Htr2c","Foxred1"
"Elovl6",9.26009480773469e-07,0.26075722455831,0.617,0.634,0.0179590278701207,"L5-Htr2c","Elovl6"
"Dusp28",9.34608379190497e-07,0.334443912702878,0.486,0.471,0.0181257949060205,"L5-Htr2c","Dusp28"
"Dnajc12",9.74166011654661e-07,0.311846837765964,0.498,0.489,0.0188929756300305,"L5-Htr2c","Dnajc12"
"Rrbp1",1.05906068254777e-06,0.343294539520858,0.455,0.415,0.0205394228773314,"L5-Htr2c","Rrbp1"
"Tmem240",1.11728264259307e-06,0.299035236143761,0.679,0.722,0.0216685795704499,"L5-Htr2c","Tmem240"
"Lrif1",1.12181927381797e-06,0.267457918253866,0.639,0.663,0.0217565629964257,"L5-Htr2c","Lrif1"
"Parl",1.12428776854309e-06,0.292705224018028,0.548,0.553,0.0218044369831246,"L5-Htr2c","Parl"
"Ammecr1",1.14032371389821e-06,0.371345568621153,0.277,0.205,0.0221154381073418,"L5-Htr2c","Ammecr1"
"Rpp25l",1.21755514213761e-06,0.298963952950518,0.53,0.538,0.0236132644266167,"L5-Htr2c","Rpp25l"
"Ing4",1.2193140991149e-06,0.28557763974003,0.564,0.578,0.0236473776382344,"L5-Htr2c","Ing4"
"Frmd5",1.24257774542085e-06,0.330785967456072,0.252,0.181,0.0240985527946919,"L5-Htr2c","Frmd5"
"Gigyf2",1.30442776613729e-06,0.250595533603881,0.713,0.754,0.0252980720964665,"L5-Htr2c","Gigyf2"
"Rccd1",1.30763704737308e-06,0.287957481548545,0.383,0.327,0.0253603128967535,"L5-Htr2c","Rccd1"
"Ndufs1",1.40187745895662e-06,0.250234995675372,0.682,0.706,0.0271880114390047,"L5-Htr2c","Ndufs1"
"Tmpo",1.4075007793706e-06,0.342371190823153,0.502,0.503,0.0272970701151134,"L5-Htr2c","Tmpo"
"Msl3l2",1.56949877263664e-06,0.319270301440154,0.439,0.414,0.030438859196515,"L5-Htr2c","Msl3l2"
"Chrac1",1.68675450028001e-06,0.263996531445843,0.598,0.62,0.0327129167784306,"L5-Htr2c","Chrac1"
"Csf2ra",1.71589737298576e-06,0.295001733989562,0.536,0.536,0.0332781136516858,"L5-Htr2c","Csf2ra"
"Sdhaf1",1.74360541613127e-06,0.25575856784642,0.632,0.652,0.0338154834404499,"L5-Htr2c","Sdhaf1"
"Lyrm4",1.82308177543418e-06,0.306645279022223,0.483,0.46,0.0353568479527706,"L5-Htr2c","Lyrm4"
"Rell1",2.23221398157166e-06,0.294711771156139,0.452,0.384,0.0432915579586007,"L5-Htr2c","Rell1"
"Fn3k",2.24697219534882e-06,0.317642830690669,0.542,0.538,0.0435777787565951,"L5-Htr2c","Fn3k"
"Ccpg1",2.43520244421361e-06,0.317296053484421,0.511,0.512,0.0472283162030787,"L5-Htr2c","Ccpg1"
"Scaper",2.61255373667435e-06,0.262070862492515,0.579,0.59,0.0506678671690624,"L5-Htr2c","Scaper"
"Spopl",2.70768682899587e-06,0.321555139967591,0.502,0.502,0.0525128783615458,"L5-Htr2c","Spopl"
"Igdcc4",2.88342630883742e-06,0.433724972748749,0.29,0.225,0.055921169833593,"L5-Htr2c","Igdcc4"
"Esrrg",3.04335237899894e-06,0.325386150109044,0.265,0.193,0.0590227760383054,"L5-Htr2c","Esrrg"
"Cep63",3.20850921124384e-06,0.360731715840964,0.408,0.378,0.0622258276428631,"L5-Htr2c","Cep63"
"Rab10os",3.54939912645023e-06,0.316267661985974,0.477,0.468,0.0688370466583758,"L5-Htr2c","Rab10os"
"Pcbd2",3.93951947067357e-06,0.324817498972266,0.539,0.548,0.0764030406142433,"L5-Htr2c","Pcbd2"
"Acadsb",4.44962153571768e-06,0.274776935150049,0.573,0.61,0.0862959600637087,"L5-Htr2c","Acadsb"
"Prss12",4.8247278603852e-06,0.25423578279419,0.71,0.701,0.0935707721243106,"L5-Htr2c","Prss12"
"Cklf",5.6690550638939e-06,0.37972729040455,0.265,0.199,0.109945653909158,"L5-Htr2c","Cklf"
"Gm26802",5.94472568145077e-06,0.37892223311122,0.639,0.592,0.115292009866056,"L5-Htr2c","Gm26802"
"Mrps31",5.97889763921574e-06,0.309947958752258,0.408,0.375,0.11595474081495,"L5-Htr2c","Mrps31"
"Lgmn",6.19939057482319e-06,0.306385348182516,0.576,0.597,0.120230980808121,"L5-Htr2c","Lgmn"
"Tkt",6.536997967941e-06,0.273698066379374,0.651,0.674,0.126778538590248,"L5-Htr2c","Tkt"
"Morn2",6.64482302555059e-06,0.321155232613808,0.474,0.478,0.128869697757528,"L5-Htr2c","Morn2"
"Zfp512",6.92599436796593e-06,0.271687869084358,0.617,0.664,0.134322734772331,"L5-Htr2c","Zfp512"
"Snx21",7.63700477028181e-06,0.335148544246721,0.62,0.654,0.148112070514845,"L5-Htr2c","Snx21"
"Rock1",7.78144253605932e-06,0.298039325490777,0.489,0.488,0.150913296544334,"L5-Htr2c","Rock1"
"Lgi33",7.81286077018773e-06,0.310068305780663,0.33,0.262,0.151522621777021,"L5-Htr2c","Lgi3"
"Chga",7.82383067952955e-06,0.263444858328152,0.67,0.69,0.151735372198796,"L5-Htr2c","Chga"
"Sox5",8.0395545070252e-06,0.256516680124922,0.679,0.69,0.155919120109247,"L5-Htr2c","Sox5"
"Dpy19l31",8.43278490117995e-06,0.288268908814945,0.417,0.376,0.163545430373484,"L5-Htr2c","Dpy19l3"
"Sema5b",8.47949387125338e-06,0.360172463668216,0.427,0.37,0.164451304139088,"L5-Htr2c","Sema5b"
"Tada1",9.19258439034259e-06,0.340214269933834,0.505,0.526,0.178280981666304,"L5-Htr2c","Tada1"
"Asrgl1",9.22648067415913e-06,0.351189163678079,0.411,0.385,0.178938366194642,"L5-Htr2c","Asrgl1"
"Tmem35a",9.40893899311433e-06,0.294390990181786,0.53,0.546,0.182476962832459,"L5-Htr2c","Tmem35a"
"Lrrc49",9.62430411789606e-06,0.285742154051107,0.517,0.519,0.186653754062476,"L5-Htr2c","Lrrc49"
"Psme1",1.05557022271431e-05,0.26512417816588,0.517,0.513,0.204717288993213,"L5-Htr2c","Psme1"
"Pknox1",1.06485698979832e-05,0.333177466304029,0.265,0.201,0.206518364601487,"L5-Htr2c","Pknox1"
"Inafm1",1.14492818646443e-05,0.303747885295957,0.511,0.517,0.222047372482911,"L5-Htr2c","Inafm1"
"Trhde1",1.14818034967507e-05,0.400943088852248,0.299,0.235,0.222678097015983,"L5-Htr2c","Trhde"
"Rif1",1.16970048412793e-05,0.340017048033787,0.492,0.499,0.226851711891771,"L5-Htr2c","Rif1"
"Gm40841",1.21476305882354e-05,0.374987437990209,0.393,0.362,0.235591147628237,"L5-Htr2c","Gm40841"
"Smim18",1.26881092741702e-05,0.272438981531605,0.523,0.516,0.246073191263258,"L5-Htr2c","Smim18"
"Ppp1r26",1.31399291331007e-05,0.342919814832108,0.271,0.212,0.254835785607354,"L5-Htr2c","Ppp1r26"
