,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
50,Ccnd2,Got1,Oxr1,Nav1,Ndst3,Vwc2,Nov,Ildr2,Tubb2a,Igsf9b,Zfp36l1,Sox10,Mag,Zfp36l1,Rpl17
51,Gadd45a,Arc,Nsf,Gnb4,Cdh13,Dnm3,BC030499,Lmo3,Cox7a2,Mycbp2,Crybb1,Xylt1,Rnf13,Gng5,Rpl18
52,Kit,Fos,Srgap3,Cnr1,Cacna1h,Dip2a,Chn1,Camk2n2,mt-Co3,Ryr2,Inpp5d,Traf4,Sox2,Sparc,Tubb2b
53,Nfia,Ckb,Galnt17,Amph,Tox,Igf1r,Meis2,Mgat4c,Rpl3,Fnbp1l,Rplp0,Slc1a3,Mobp,Sgms1,Rpl37a
54,Abracl,Cyth2,Lingo1,Npy2r,Cntnap5a,Sv2a,Auts2,Zcchc12,Rps3,Adgrb3,Cd33,Atp6v0e,Clic4,Spock2,Rps29
55,Tmsb10,Caly,Stum,Cdh9,Kcnn2,Wasf3,Ajap1,Rit2,Actg1,Gm42418,Rnase4,Ppp1r14b,Qdpr,Gnai2,Rpl10a
56,Sept3,Cuedc2,Arpp21,Kcnip4,Fras1,Zdhhc2,Megf9,Dclk1,H3f3a,mt-Nd4l,Fau,Itgb8,Gng5,Tek,Rpl14
57,Ubl3,Psmd14,C1ql3,Gpr22,Map2,Sez6,Tsc22d1,Peg3,Rps13,Tra2a,Cd83,Ndrg2,Phldb1,Clec2d,Nhlh2
58,Meis2,Prdx1,Sccpdh,Smarca2,Lingo2,1810037I17Rik,Prex1,Bex3,Capza2,Ubn2,Tgfb1,Serinc5,Pllp,Ifitm3,Calb2
59,Akap7,Atp5c1,Cpne5,Rtn4rl1,Mal2,Tmem130,Necab2,Ssbp2,Dpysl2,Cacna1a,Mylip,Marcks,Enpp2,Fcgrt,Rps16
60,Nrxn3,Pgk1,Rora,Mapk1,Lrrtm4,Bcl11a,Pop5,Marcksl1,Rpl9,Clk1,H2-D1,Caskin2,Josd2,Tjp1,Rps6
61,Tmem178,Atp5f1,Kcna2,Ptprs,Atp1b1,Nrsn2,Trp53i11,Gprasp2,Rps6,Dst,Plek,Sdc3,Ptgds,Ctsh,Rpl37
62,Lmo3,Arpc3,Dlgap1,Gria1,Diaph2,Prss12,Nptxr,Grik1,Cdc42,Grin1,Arpc1b,Cdo1,Map4k4,Zfp36,Marcks
63,Gng12,Txnl1,Nlk,Mmd,Enc1,Ppp1r14c,Man1a,Tspyl4,Atp5b,BC005561,Slco2b1,Mtss1l,Nkx6-2,Rbms1,Lhx1os
64,Atp2b2,Clta,Tcf4,Ptpre,Sorl1,Gm40518,Kcnip2,Chd3os,Pcp4,Krit1,Rps12,Lrp1,Il33,Pglyrp1,Bcl11a
65,Limk1,Ckmt1,Zbtb18,D430019H16Rik,Zbtb18,Chl1,Mapk1,Scai,Rplp2,Phf20l1,Cd300c2,Chd7,Opalin,Nes,Naca
66,Khdrbs3,Taldo1,Slc12a5,Nov,Cdkl4,Fxyd6,Myh7,Sept3,Rpl7,Chka,Pld4,Tril,Htra1,Foxc1,Rpl11
67,Sla,Ppa1,A830036E02Rik,Necab1,Fam84a,Fxyd7,Pkig,Btbd3,Rpl19,Kalrn,Ltc4s,Chst11,Aplp1,B2m,Slc17a6
68,Fxyd7,Sdhb,Ttc3,Gstm1,Syne1,Ndrg3,Kcnh3,Cxxc4,Rpl27a,Egr1,Anxa3,Spry1,Gng11,Vim,Rpl7
69,Rap1gds1,Eno1,Tppp,Slc20a1,Anks1b,Ripor2,Evc2,Dpp6,Rabac1,Sf3b1,Cd81,Mmp15,Ugt8a,Itga1,Rps20
70,Rab26,Rab3b,Fam212b,Unc5c,Id2,Mmp16,Chst1,Grm5,Cox6c,Zfp445,Gng5,Zeb1,Clmn,Podxl,Diablo
71,Ngef,Atp5a1,Rapgef5,Nwd2,Gprc5b,2900011O08Rik,Psd,Ptprt,Rpl18a,Cers4,Cd9,Phldb1,Tspan2,Clic4,Fat3
72,Zfpm2,Fez1,barcode1,Rimbp2,Rab8b,Tspan7,Cdk2ap1,Pcdh17,mt-Atp6,Arglu1,Lair1,Zfp462,Evi2a,Zbtb20,Nr2f2
73,Sept7,Tmem59,Cdh10,2010111I01Rik,Robo2,Tmod1,March1,Mirt1,Cox5a,Scn2a,Ctsh,Tmem176a,Gpm6b,Car4,Ybx1
74,Park7,Gnb2,Dnajc21,Adamts18,Nlgn1,Sec62,Enpp2,Polr2m,Rpl32,mt-Cytb,Spi1,Rpl13,Slc12a2,Sptbn1,Rpl32
75,Tmem196,Calm1,Ccdc85a,Tenm4,Cpne7,Nbdy,Palmd,Ahi1,Ndufc2,Nrcam,Itgam,Tgfa,Limch1,Sema3c,Tnfrsf21
76,Nfib,Stmn2,Bhlhe40,Atp2b4,Ptk2b,Ids,Cck,Pnmal2,Atp5c1,Pabpn1,Sall1,Cd63,Fth1,Heg1,Ptma
77,Ano3,Psmb6,Sphkap,Syn2,Kirrel3,Rap1gds1,Pnmal2,Bcat1,Zwint,Cacna1e,Rrbp1,Fchsd2,Phgdh,Jcad,Btg1
78,Mgat4c,Psma6,Slc6a17,Cpne5,Ldb2,Grem2,Dusp18,Chchd10,Tagln3,Srsf11,Rhob,Cd9,Tmbim1,Timp3,Rpl39
79,Cplx2,Vdac3,Efna5,Pgbd5,Nov,Vopp1,Zbtb18,Tceal9,Cfl1,Pfkp,Ncf1,Gng5,Ndrg1,Mpzl1,Bri3
80,Crym,Atp6v0b,Edil3,Crtac1,Dgkb,Hivep1,Rtn4rl1,Rnd2,Atp6v1d,Unc13a,Mertk,Phlda1,Tmcc3,Abcg2,Pafah1b3
81,Nkiras1,Psmb3,Nyap2,Chst11,Abat,1500009L16Rik,Camkk1,Atp2a2,Rps25,Mir124a-1hg,Fcgr3,Cd81,Micall1,Foxq1,Rpl24
82,Pcdh9,Cd81,Ptgfrn,Cpne6,2010300C02Rik,Arhgap44,Arpp21,Pcsk5,Vdac1,Clstn3,Cyth4,Sox2,Sirt2,Ushbp1,Npm1
83,Ogfrl1,Ywhah,Tenm4,Arl6ip5,Gda,Cdh2,2010300C02Rik,Foxp1,Ndufb9,Abcc5,Adap2,G0s2,Myrf,Slc7a1,Hspa8
84,Bcl11b,Atp1b1,Kalrn,Ak5,Cdh7,Sh3gl2,Cnksr2,Maged1,Rtn4,Atp2a2,Ptpn18,Hepacam,Cntn2,Myl12a,Nfix
85,Ddah1,Gde1,Nudt4,Grm1,Dbpht2,Chrna4,Wipf3,Scg2,Sept7,Rb1cc1,Irf8,Prex1,Gprc5b,Slc40a1,AY036118
86,Gm10600,Syt6,Lrfn5,Syt17,Epha5,Nampt,Tle1,Mtss1,Rpl34,Atp2b1,Lpcat2,Brinp3,Phlpp1,Ahnak,Rpl12
87,Med10,Gadd45g,Tenm2,Lingo1,Robo1,Diras2,Npy1r,Luzp2,Rpl11,Nbea,Ccl4,Rlbp1,Prex1,Ctnnb1,Tuba1b
88,Cox5a,Glul,Rorb,Adgrb2,St6galnac5,Pcdh9,Sowaha,Kif2a,Rpl39,Tra2b,Ccr5,Megf11,Aspa,Tns1,Rps28
89,Map1lc3b,Ldha,Auts2,Dgkg,Gng7,Sema5b,Epha4,Samd4,Rpl22l1,B230334C09Rik,Npc2,Kcnj10,Anln,Lsr,Rps18
90,1110008P14Rik,Arpc2,Ppm1l,Rapgef5,Sez6l,Syt11,Fam19a5,Rps24,Rps14,Mcf2l,Qk,Gm3764,Ptprz1,Pcp4l1,Nfib
91,Fxyd6,Foxp2,Arhgap32,Cygb,Cntfr,Reep1,Grm5,Nbdy,mt-Co2,Phip,Ccrl2,Npas3,Hopx,Nebl,Cd274
92,Cfl1,Eif4a1,Cntn4,Camk2n1,Sv2b,Pcdh17,Camk2d,Stard5,Pfn2,Fubp1,Rpl18a,Asrgl1,Carhsp1,Cd93,Tubb5
93,Dctn3,Clu,Prkar1b,Pnmal2,barcode4,St3gal1,Slc39a10,Thrb,Fth1,Pde4a,Ier5,Midn,Rdx,Srgn,Cox7a2l
94,Galnt9,Snap47,Gpc6,Clstn2,Dscaml1,Kcnmb4,Grm1,Zeb1,Rpl35a,Ccdc88a,Nfkbiz,Timp3,Sec11c,Kank3,Pfdn5
95,Arf5,Ppp1r1b,Tspan17,Foxg1,Fezf2,Camk2n2,Ncdn,Rnf182,Rplp1,Dmd,Clic1,Hip1,Litaf,H2-K1,Rpl19
96,Arhgap25,Prdx2,Bok,Abr,Ptp4a2,Mapk8,Pitpnm2,Fry,Rps29,C2cd5,Rps4x,Ostf1,Cers2,Col4a1,Eif3h
97,Bex2,Tmsb10,Krt12,1110032F04Rik,Psd3,Nov,Myh14,Nrn1,mt-Nd3,Bicd1,Sat1,Itpr2,Lpar1,Klf6,Isoc1
98,Neto2,Psma5,Dock4,Bok,Nr3c2,Zwint,Cpne5,Cpne4,Tubb5,Ccnt2,Ptgs1,Notch1,Mfge8,Lmo2,Utrn
99,Dtna,Btg2,Fndc5,Pcdh15,Etv1,Kcnma1,C2cd2l,Tox2,Ywhaq,Smg1,Ier3,Wscd1,5031439G07Rik,Golim4,Ebf3
100,Rell1,Psmc3,Slit2,Kcnq5,Ddn,Mtss1,R3hdm4,Podxl2,Gnas,Adgrl1,Cmtm6,Lrrn1,Cd81,Tpm4,Rpl5
101,Ywhah,Fosb,Fam126b,mt-Nd4,Stum,Kcng1,Otof,Araf,mt-Cytb,C230004F18Rik,Pde3b,Gpt2,Sema6a,Cyyr1,Kcnb2
102,Cabp1,Suclg1,Tspan5,Slc39a10,Nrxn2,Adora1,Kctd12,Ccdc136,Arf1,Tcf4,Ccl3,Emid1,Mt2,Kitl,Irf2bpl
103,Kctd1,Ubc,Pcdh15,Rgs7bp,Npr3,Mgat4c,Slc30a3,Kazn,Ptma,Rbm5,Rplp1,Ampd3,Bin1,Cd34,Ubc
104,Ptma,Vdac2,Klhdc8a,Susd4,Mef2c,Hs6st2,Mpc2,Kcnab1,Snap25,4930402H24Rik,Bcl2a1b,Cald1,Grb14,Cdkn1a,Rpl22l1
105,Sec62,Rabac1,Lcorl,Ntm,Hap1,Hs3st2,Rragd,Rgs6,Rpl30,Sorbs2,Cfh,Enpp2,Fa2h,Slc16a2,Jund
106,Mgst3,Prmt1,Cadm2,App,Tcerg1l,Bex1,Prag1,Mcc,Atp5g3,Gls,Alox5ap,Tsc22d4,Pls1,Cgnl1,Cd63
107,Snrpn,Ndufs2,Ptn,Rgs12,Pcdh19,Rcan3,Sorbs2,Ncam1,Rpl14,Garnl3,Ncf2,Hes5,Appl2,BC028528,Rps13
108,Ralyl,Cct5,Cdkl5,Lpl,Ccng1,Pamr1,Camk2a,Gm10600,Rpl23,Ank2,Cd37,Sirt2,Slc4a4,Igf1r,Tspan3
109,Chrna4,Junb,Ptprs,Rapgef2,Dpp6,Mdga2,Tpm1,Kcna6,Pebp1,Macf1,Cebpb,S100a6,Creb5,Ptn,Btf3
