"","x"
"806","AU021092"
"807","Nlk"
"808","Slc38a3"
"809","Kcnc2"
"810","Fam126a"
"811","Camk4"
"812","Hlf"
"813","Tmem176b"
"814","Gnb4"
"815","Ptafr"
"816","Nav1"
"817","Tmeff1"
"818","Adora1"
"819","Cdh10"
"820","Brinp3"
"821","F13a1"
"822","Adcyap1r1"
"823","Alpl"
"824","Mcam"
"825","Atp12a"
"826","Klf14"
"827","Galnt17"
"828","Gm26730"
"829","Egln3"
"830","Col6a1"
"831","C130073E24Rik"
"832","Neurod1"
"833","2900055J20Rik"
"834","Cux1"
"835","Smoc2"
"836","Glra2"
"837","Unc5c"
"838","Ccdc96"
"839","Ugt8a"
"840","Slc39a10"
"841","Aldh3b1"
"842","Ucma"
"843","Foxq1"
"844","Tpbg"
"845","Tuba1b"
"846","Tgif1"
"847","Ranbp2"
"848","Prox1"
"849","Cort"
"850","Prss12"
"851","Wscd1"
"852","Garnl3"
"853","Sertm1"
"854","Arl5b"
"855","Tenm3"
"856","Tmem47"
"857","Ccr5"
"858","Gm47423"
"859","Gpnmb"
"860","Carmn"
"861","Tnfaip3"
"862","Lhx6"
"863","H2-Eb1"
"864","Mpeg1"
"865","Lag3"
"866","Tubb2b"
"867","Lmo3"
"868","Sycp3"
"869","Mt1"
"870","Mgat4c"
"871","Fmo1"
"872","Slit2"
"873","Cntnap2"
"874","Prdx1"
"875","Pantr1"
"876","S100a10"
"877","Lynx1"
"878","Nrp2"
"879","Ndufv1"
"880","Clic5"
"881","Lcp1"
"882","Foxc1"
"883","Lsamp"
"884","Milr1"
"885","Gpx3"
"886","Gm38134"
"887","Ctsd"
"888","Vwc2l"
"889","Ptprc"
"890","Rnase4"
"891","Hmcn1"
"892","Thbs1"
"893","Sox2"
"894","Acan"
"895","Nptx1"
"896","Ckmt1"
"897","Chrnb3"
"898","Sv2c"
"899","Prr5l"
"900","Tcim"
"901","Crabp1"
"902","AC140186.1"
"903","Creb5"
"904","Foxo1"
"905","Hdac9"
"906","Cpne8"
"907","Cd93"
"908","Tpm2"
"909","Cenpn"
"910","Gda"
"911","Sparcl1"
"912","Gpr183"
"913","Zic1"
"914","Ppm1l"
"915","Grm2"
"916","Cwc25"
"917","Gem"
"918","Klhl13"
"919","Rasgrp3"
"920","Sulf2"
"921","Kctd1"
"922","Ifi44"
"923","Lum"
"924","Sphkap"
"925","Rmi2"
"926","Padi6"
"927","Sik2"
"928","Ccdc12"
"929","Wnt7b"
"930","Slc2a1"
"931","Fa2h"
"932","Lypd6"
"933","Cyth2"
"934","Notch1"
"935","Ppm1n"
"936","Slc25a3"
"937","Cplx1"
"938","Tns1"
"939","Ctsh"
"940","Nrsn2"
"941","Fjx1"
"942","Fezf2"
"943","Daam2"
"944","Calm1"
"945","Ikzf2"
"946","Hist1h2bh"
"947","Htra1"
"948","Bin2"
"949","Homer2"
"950","Gm47136"
"951","Hs6st2"
"952","Pcdhb8"
"953","Dmrta2os"
"954","Clec1b"
"955","Eno1"
"956","Hpgd"
"957","Ngb"
"958","Fam71a"
"959","H2-Ab1"
"960","Lmo4"
"961","Gstm1"
"962","5031425F14Rik"
"963","Ciart"
"964","Tagln"
"965","Pla2g16"
"966","Tmem163"
"967","Neb"
"968","Nsf"
"969","Atxn10"
"970","Cd14"
"971","Npy1r"
"972","Mgst3"
"973","Nodal"
"974","Lilra5"
"975","Clu"
"976","Pam"
"977","Cflar"
"978","Nyap2"
"979","Atp2b4"
"980","Tmem178"
"981","Megf11"
"982","Taldo1"
"983","Nos1ap"
"984","Clmn"
"985","Tubb3"
"986","Glra3"
"987","Slc6a17"
"988","Kcnh5"
"989","Col5a2"
"990","Satb1"
"991","Aif1"
"992","Trpc5"
"993","Btg1"
"994","Zfhx3"
"995","Nlrp3"
"996","Psmb3"
"997","Pappa2"
"998","Gng4"
"999","Cntnap4"
"1000","Rassf3"
"1001","Kcnq1ot1"
"1002","Tmem255a"
"1003","6030408B16Rik"
"1004","Mir670hg"
"1005","Syt1"
"1006","Bcl2"
"1007","Pou6f2"
"1008","Lingo1"
"1009","Il1rapl2"
"1010","Cntn4"
"1011","Ddah2"
"1012","Kcne4"
"1013","Sema3d"
"1014","Ptprb"
"1015","Sstr2"
"1016","Hpse"
"1017","Stk32c"
