"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Astn12",7.71610612421211e-14,0.310409553598987,0.975,0.965,1.49607581642349e-09,"L2/3-Calb1","Astn1"
"Fgd41",7.96841360593416e-14,0.374479100580889,0.683,0.625,1.54499571405457e-09,"L2/3-Calb1","Fgd4"
"Rimklb3",8.15453555863663e-14,0.437370746601128,0.538,0.385,1.58108289946406e-09,"L2/3-Calb1","Rimklb"
"Fgd6",8.21708760902619e-14,0.26891747570922,0.101,0.019,1.59321111651409e-09,"L2/3-Calb1","Fgd6"
"Ppp1r9b1",8.23237396391756e-14,0.354262687673012,0.871,0.841,1.59617498786398e-09,"L2/3-Calb1","Ppp1r9b"
"Nav14",8.43629968157896e-14,0.34124041813773,0.908,0.766,1.63571414526134e-09,"L2/3-Calb1","Nav1"
"Rassf33",8.55723760831409e-14,0.527982964586533,0.367,0.194,1.65916279987602e-09,"L2/3-Calb1","Rassf3"
"Znrf31",8.73648299069178e-14,0.376554884829892,0.241,0.142,1.69391668706523e-09,"L2/3-Calb1","Znrf3"
"Atrnl1",9.04469446835425e-14,0.299076719265502,0.644,0.62,1.7536758104692e-09,"L2/3-Calb1","Atrnl1"
"Gria42",9.64690054376975e-14,0.431330388634538,0.692,0.545,1.87043754643152e-09,"L2/3-Calb1","Gria4"
"Adcyap1r12",9.65320374588031e-14,0.445408295181317,0.616,0.425,1.87165967428873e-09,"L2/3-Calb1","Adcyap1r1"
"Cntn42",9.93933649941116e-14,0.460209674532453,0.588,0.396,1.92713795387083e-09,"L2/3-Calb1","Cntn4"
"Timm10",1.00763356475539e-13,0.347016923656181,0.916,0.874,1.95370071870423e-09,"L2/3-Calb1","Timm10"
"Cep70",1.01882330970095e-13,0.381759101537317,0.431,0.342,1.97539651517918e-09,"L2/3-Calb1","Cep70"
"Tomm51",1.03861142238191e-13,0.299557260573139,0.972,0.941,2.01376368685629e-09,"L2/3-Calb1","Tomm5"
"Pdgfc",1.18207800204398e-13,0.346766173693525,0.179,0.089,2.29193103816308e-09,"L2/3-Calb1","Pdgfc"
