index,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Ndufa10,0.0,2.4640422,0,9.7395935,9.761985,0.99770623,False,9321
Cops9,0.0,3.0358872,0,11.898571,14.021652,0.84858555,False,9505
Otos,0.0,0.009171722,0,0.011157644,0.010858377,1.027561,False,13
Gm29483,0.0,0.007948826,0,0.00835638,0.009342535,0.89444464,False,157
Gpc1,0.0,0.5710456,0,1.075632,0.9862286,1.0906518,False,5664
Gm29480,0.0,0.007713654,0,0.007748587,0.009052028,0.8560056,False,146
Ankmy1,0.0,0.027750341,0,0.029427437,0.03436493,0.85632175,False,441
Dusp28,0.0,0.36503458,0,0.4952007,0.5556453,0.8912173,False,4559
5033417F24Rik,0.0,0.024646066,0,0.025074575,0.030330902,0.8267006,False,445
Rnpepl1,0.0,0.42500353,0,0.5057229,0.6719518,0.7526178,False,4056
9430060I03Rik,0.0,0.05968675,0,0.06581644,0.07839615,0.83953667,False,983
Capn10,0.0,0.37782794,0,0.5086504,0.57969475,0.8774453,False,4686
Gpr35,0.0,0.0046093785,0,0.004776495,0.005269878,0.9063767,False,25
Kif1a,0.0,4.5735383,0,31.363043,28.646671,1.0948232,False,9783
Sned1,0.0,0.033958893,0,0.043343447,0.042560488,1.0183964,False,39
Mterf4,0.0,0.19175956,0,0.21858872,0.26478913,0.82552,False,2682
Gm28535,0.0,0.0074784816,0,0.007705123,0.0087619815,0.8793814,False,138
Pask,0.0,0.038191997,0,0.04021581,0.04831703,0.832332,False,657
Ppp1r7,0.0,1.2888387,0,3.263746,3.2640042,0.9999209,False,8229
Ano7,0.0,0.002869103,0,0.003143226,0.0032052242,0.9806571,False,4
Hdlbp,0.0,1.1021589,0,2.0270984,2.5436833,0.79691464,False,7823
Sept2,0.0,0.05935751,0,0.061293077,0.07792896,0.786525,False,806
Farp2,0.0,0.091764264,0,0.094354086,0.123494044,0.76403755,False,1360
Stk25,0.0,2.6278162,0,10.657662,10.911025,0.9767793,False,9524
Bok,1.0,0.6587178,1,2.2235022,1.1953999,1.8600488,True,4375
Thap4,0.0,0.20140162,0,0.22632165,0.27964646,0.8093135,False,2785
Atg4b,0.0,0.43699732,0,0.58912784,0.6961415,0.84627604,False,5006
Dtymk,0.0,0.7660035,0,1.2406805,1.4747471,0.8412836,False,6979
Ing5,0.0,0.19270025,0,0.22067297,0.26622817,0.82888657,False,2493
D2hgdh,0.0,0.09660882,0,0.104212865,0.1302254,0.8002499,False,1356
Gal3st2b,0.0,0.0004233103,0,0.000423151,0.00044019637,0.9612778,False,9
Gal3st2c,0.0,0.004139034,0,0.004404316,0.0047067897,0.9357368,False,84
Neu4,1.0,0.16772494,1,0.5706441,0.22920078,2.4897125,True,88
Pdcd1,1.0,0.0013639998,1,0.0028673774,0.0014727078,1.7977792,True,5
Fam174a,0.0,2.2609003,0,6.049849,8.418895,0.7186037,False,9286
St8sia4,1.0,0.25694934,1,0.71483,0.36839613,1.9403841,True,853
Slco4c1,0.0,0.058040544,0,0.065586925,0.07605704,0.86233866,False,1041
Panct2,0.0,0.05244344,0,0.058820583,0.068086684,0.8639072,False,983
D1Ertd622e,0.0,0.9305301,0,1.8938097,1.9596795,0.96638745,False,7106
Ppip5k2,0.0,0.2907201,0,0.36453712,0.424052,0.85965186,False,3480
Gin1,0.0,0.3516768,0,0.4338435,0.5310344,0.8169781,False,4309
Pam,1.0,0.89718264,1,3.103539,1.8554522,1.6726592,True,5987
Gm7967,1.0,0.008231034,1,0.018982105,0.009691665,1.9586011,True,12
Cntnap5b,0.0,0.03974413,0,0.044657394,0.050452147,0.8851436,False,639
Gm28187,0.0,0.0013639998,0,0.0016444235,0.0014727078,1.1165986,False,4
Cdh20,0.0,0.045341235,0,0.05984436,0.058151435,1.0291123,False,205
Rnf152,1.0,0.88391894,1,3.8689327,1.8149167,2.1317413,True,4888
Gm17634,0.0,0.026668549,0,0.033390354,0.032954704,1.0132197,False,464
Pign,0.0,0.12986219,0,0.14338902,0.17624857,0.8135613,False,1764
2310035C23Rik,0.0,0.9451578,0,1.6867383,2.0064166,0.84067196,False,7724
Tnfrsf11a,0.0,0.06556606,0,0.073029205,0.08667401,0.8425733,False,741
Gm7160,0.0,0.027138893,0,0.027814716,0.033567254,0.82862645,False,443
Zcchc2,0.0,0.2630168,0,0.34483585,0.37840506,0.9112876,False,3376
Phlpp1,0.0,0.48421994,0,0.85296124,0.7944794,1.0736102,False,3726
A530053M12Rik,0.0,0.00089365506,0,0.0008928984,0.0009510847,0.93882114,False,18
Bcl2,0.0,0.8122854,0,2.1687596,1.604275,1.3518628,False,6023
Kdsr,0.0,0.75396264,0,1.2008456,1.4417827,0.83288944,False,6753
Vps4b,0.0,0.600207,0,0.80600935,1.0536312,0.7649824,False,5905
Serpinb8,0.0,0.06979916,0,0.108204044,0.09261528,1.1683174,False,1104
Cdh7,1.0,0.156907,1,0.30322474,0.21398619,1.4170295,True,1952
Cdh19,0.0,0.029490616,0,0.038876265,0.0366438,1.0609233,False,21
Gm29088,0.0,0.009783171,0,0.0102523565,0.011618079,0.8824485,False,192
Dsel,0.0,0.40139222,0,0.63379675,0.62513995,1.0138478,False,4803
Cntnap5a,1.0,0.36418796,1,1.1869752,0.5540706,2.1422815,True,2675
Tsn,0.0,2.3834722,0,7.026837,9.218278,0.7622722,False,9303
Nifk,0.0,0.39504257,0,0.4855615,0.6127586,0.7924189,False,4656
Clasp1,0.0,1.0956681,0,2.5080626,2.5202672,0.99515736,False,7965
2900060B14Rik,1.0,0.34382203,1,0.8329568,0.51678085,1.6118183,True,3217
Tfcp2l1,0.0,0.0056911716,0,0.0066938554,0.0065776845,1.0176613,False,46
Gli2,0.0,0.002163586,0,0.0021590064,0.0023836987,0.90573794,False,5
