"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eprs",1.13620568224592e-27,0.255375950587913,0.792,0.697,2.20355730014774e-23,"1","Eprs"
"Tubb2b1",1.4043304103444e-27,0.26506628156472,0.306,0.182,2.72355839782192e-23,"1","Tubb2b"
"Hnrnpll",4.49833057440862e-27,0.252093124271077,0.844,0.784,8.72406231600809e-23,"1","Hnrnpll"
"Sat1",4.63176563855968e-23,0.342811596651518,0.502,0.376,8.98284627942264e-19,"1","Sat1"
"Cdc42ep31",7.80886075368114e-20,0.336897010100313,0.63,0.526,1.51445045456892e-15,"1","Cdc42ep3"
"Sik2",1.96613257697684e-16,0.252455102703515,0.485,0.387,3.81311751978889e-12,"1","Sik2"
"Ccdc138",1.35720121763942e-15,0.300626543864106,0.493,0.384,2.63215604148989e-11,"1","Ccdc138"
"Nefm1",2.58680870652258e-15,0.276873497404461,0.639,0.538,5.0168568054299e-11,"1","Nefm"
"Arl5b",3.6744651319518e-15,0.342116714771447,0.53,0.451,7.12625767690731e-11,"1","Arl5b"
"Nr4a31",1.40141823915601e-14,0.408514290419364,0.64,0.585,2.71791053301916e-10,"1","Nr4a3"
"Mest1",7.39649074588442e-13,0.404812269198877,0.555,0.472,1.43447541525683e-08,"1","Mest"
"Hspa1b1",3.8804640904731e-12,0.321876244583283,0.384,0.308,7.52577205706353e-08,"1","Hspa1b"
"Otud11",8.4920921635455e-05,0.272162465395934,0.569,0.531,1,"1","Otud1"
"Pou3f1",0,2.47653785671853,0.895,0.05,0,"6","Pou3f1"
"Lamp51",0,1.57862402901826,0.903,0.156,0,"6","Lamp5"
"Adamts2",0,1.48698177027393,0.686,0.031,0,"6","Adamts2"
"Bcl6",0,1.34666954008366,0.699,0.033,0,"6","Bcl6"
"Tcerg1l1",0,1.16153562290811,0.605,0.062,0,"6","Tcerg1l"
"Gprc5b",0,1.14878979174181,0.644,0.029,0,"6","Gprc5b"
"Fam84b",0,1.11062364128123,0.576,0.025,0,"6","Fam84b"
"Arhgef26",0,0.989104976137114,0.555,0.026,0,"6","Arhgef26"
"Reln",0,0.982696368218872,0.427,0.018,0,"6","Reln"
"Doc2b",0,0.862591935739546,0.482,0.037,0,"6","Doc2b"
"Ndnf",0,0.782228111016045,0.27,0.004,0,"6","Ndnf"
"3100002H09Rik",0,0.584189515349189,0.304,0.002,0,"6","3100002H09Rik"
"L3mbtl4",0,0.462599219938351,0.267,0.006,0,"6","L3mbtl4"
"Stxbp6",2.06135471398049e-296,1.93174719265916,0.806,0.141,3.99779133229376e-292,"6","Stxbp6"
"Fam126a",3.68708533525218e-296,1.36860458691648,0.822,0.152,7.15073329918808e-292,"6","Fam126a"
"Tpbg1",3.26954403329126e-281,0.865770682721164,0.521,0.049,6.34095369816506e-277,"6","Tpbg"
"Bend7",3.65864366361599e-268,0.785118671399019,0.414,0.031,7.09557352121685e-264,"6","Bend7"
"Kirrel31",7.25606287098642e-268,1.02357780674249,0.681,0.097,1.40724083319911e-263,"6","Kirrel3"
