"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Epha43",8.80406878708619e-10,0.263869192822388,0.95,0.928,1.62179751126915e-05,"AI","Epha4"
"Col25a12",1.19764380436572e-09,0.401281709913093,0.519,0.424,2.2061796520221e-05,"AI","Col25a1"
"Unc5a1",1.23517659041561e-09,0.281214675100181,0.8,0.72,2.27531879720459e-05,"AI","Unc5a"
"Lamb11",1.34066302974449e-09,0.257293517132382,0.246,0.103,2.46963536709233e-05,"AI","Lamb1"
"Myh141",1.36567665694921e-09,0.30811249499949,0.269,0.117,2.51571296976614e-05,"AI","Myh14"
"Slit24",1.40043854439045e-09,0.339408828729998,0.623,0.461,2.57974784262165e-05,"AI","Slit2"
"Enox13",1.55351785912074e-09,0.309820951221859,0.55,0.394,2.86173524828632e-05,"AI","Enox1"
"Mapk42",1.64136560420382e-09,0.307124928166801,0.442,0.259,3.02355957950386e-05,"AI","Mapk4"
"Atp1a1",1.69500312368838e-09,0.289861602123173,0.965,0.971,3.12236525414637e-05,"AI","Atp1a1"
"Epha33",1.77779341188529e-09,0.315404850905636,0.3,0.15,3.27487324403389e-05,"AI","Epha3"
"Syndig12",1.87742363580498e-09,0.316420201592431,0.477,0.298,3.45840207951636e-05,"AI","Syndig1"
"Acvr1c3",2.1130333735121e-09,0.383092987336074,0.531,0.338,3.89241877734663e-05,"AI","Acvr1c"
"Il12a",2.45319361040317e-09,0.290711038797573,0.281,0.134,4.51902794972368e-05,"AI","Il12a"
"Dtl1",2.66481452788822e-09,0.277088628540352,0.531,0.397,4.90885484182289e-05,"AI","Dtl"
"Hrh12",2.74531512867972e-09,0.303961662343891,0.423,0.265,5.0571449985409e-05,"AI","Hrh1"
"D430019H16Rik1",3.17802429854573e-09,0.298172810446482,0.681,0.512,5.85423856035109e-05,"AI","D430019H16Rik"
"Tmem44",3.73734893027161e-09,0.317766635631353,0.269,0.146,6.88457046445334e-05,"AI","Tmem44"
"Arl153",3.97207113824577e-09,0.301264448491246,0.496,0.331,7.31695224376254e-05,"AI","Arl15"
"Slc26a44",4.0121622350826e-09,0.293468014894413,0.377,0.206,7.39080405324565e-05,"AI","Slc26a4"
"C730002L08Rik1",4.20364321823624e-09,0.304148342293182,0.465,0.312,7.74353117231297e-05,"AI","C730002L08Rik"
"Gpc4",4.23406824666039e-09,0.256377158902992,0.158,0.057,7.7995771171731e-05,"AI","Gpc4"
