"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.653,0.3733,0.7812,0.1214,0.2101,0.0312,0.0705,200
0.5039,0.1767,0.96,0.0889,0.1627,0.012,0.0603,2
0.6309,0.19,0.96,0.0902,0.1649,0.0149,0.0698,5
0.6975,0.2,0.96,0.0913,0.1667,0.0171,0.0764,10
0.6457,0.3833,0.8,0.1,0.1778,0.0348,0.0853,20
0.7087,0.32,0.88,0.0987,0.1774,0.0324,0.0943,50
0.7172,0.4633,0.8,0.1136,0.199,0.0621,0.1306,100
0.7741,0.5467,0.92,0.1465,0.2527,0.1273,0.2395,200
0.6299,0.17,1,0.0978,0.1782,0.0171,0.0927,2
0.62,0.1867,0.963,0.0967,0.1757,0.0145,0.0685,5
0.6486,0.1833,0.963,0.0963,0.1751,0.0137,0.066,10
0.704,0.22,0.963,0.1004,0.1818,0.0225,0.0912,20
0.7464,0.2433,1,0.1063,0.1922,0.0352,0.1338,50
0.7418,0.52,0.8519,0.1411,0.2421,0.1037,0.1948,100
0.5324,0.3033,0.8148,0.0973,0.1739,0.0156,0.0449,200
0.5674,0.2,0.9655,0.1049,0.1892,0.0179,0.079,2
0.6545,0.2067,0.9655,0.1057,0.1905,0.0196,0.0837,5
0.711,0.2067,0.9655,0.1057,0.1905,0.0196,0.0837,10
0.7246,0.2467,0.931,0.1076,0.1929,0.0236,0.0835,20
0.7575,0.3467,0.8621,0.1152,0.2033,0.0394,0.1015,50
0.6634,0.3133,0.8276,0.1067,0.189,0.0214,0.0586,100
0.6999,0.3733,0.8276,0.1159,0.2034,0.0407,0.0973,200
0.5894,0.87,0.1,0.2,0.1333,0.0714,0.0765,2
0.7593,0.7633,0.6333,0.2405,0.3486,0.2382,0.28,5
0.8241,0.8167,0.7333,0.3188,0.4444,0.3545,0.3987,10
0.7215,0.7967,0.6667,0.2817,0.396,0.2972,0.3372,20
0.774,0.7567,0.7,0.2471,0.3652,0.2551,0.3082,50
0.7993,0.76,0.8,0.2667,0.4,0.2941,0.3637,100
0.7822,0.7633,0.7333,0.2588,0.3826,0.2755,0.3329,200
