"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.7856,0.73,0.8511,0.3509,0.4969,0.3534,0.4183,300
0.7607,0.7133,0.8085,0.3304,0.4691,0.3173,0.3769,400
0.7667,0.7333,0.7872,0.3458,0.4805,0.336,0.3874,500
0.6729,0.5433,0.8298,0.2321,0.3628,0.1562,0.2343,1000
0.5153,0.5167,0.5106,0.1644,0.2487,0.0153,0.0207,2000
0.5108,0.73,0.1915,0.1731,0.1818,0.0206,0.0207,5000
0.5864,0.8,0.0889,0.1739,0.1176,0.018,0.0193,2
0.5629,0.7433,0.2444,0.2037,0.2222,0.07,0.0705,5
0.6863,0.7667,0.4889,0.3188,0.386,0.2497,0.2584,10
0.7237,0.7333,0.6667,0.3158,0.4286,0.2825,0.3161,20
0.7365,0.7033,0.6889,0.2925,0.4106,0.2534,0.2949,50
0.7416,0.7167,0.6889,0.3039,0.4218,0.2698,0.3094,100
0.6867,0.6933,0.6889,0.2844,0.4026,0.2415,0.2843,200
0.7118,0.72,0.6889,0.3069,0.4247,0.274,0.3131,300
0.703,0.7133,0.6667,0.297,0.411,0.2567,0.2933,400
0.7068,0.7,0.7111,0.2936,0.4156,0.258,0.3038,500
0.515,0.45,0.6,0.1552,0.2466,0.0108,0.017,1000
0.5558,0.62,0.4667,0.1892,0.2692,0.0709,0.0841,2000
0.5346,0.7533,0.2222,0.2041,0.2128,0.0668,0.0669,5000
0.5389,0.2,0.9348,0.1536,0.2638,6e-04,0.0025,2
0.595,0.6667,0.4565,0.2188,0.2958,0.1116,0.1245,5
0.7189,0.68,0.7609,0.2917,0.4217,0.257,0.3135,10
0.7398,0.71,0.7826,0.3186,0.4528,0.3003,0.3565,20
0.7371,0.65,0.8043,0.2782,0.4134,0.2403,0.3093,50
0.7114,0.69,0.7826,0.3025,0.4364,0.2763,0.3357,100
0.6968,0.69,0.7391,0.2957,0.4224,0.2603,0.3114,200
0.7251,0.71,0.8043,0.3217,0.4596,0.3081,0.3685,300
0.7292,0.71,0.7826,0.3186,0.4528,0.3003,0.3565,400
0.7164,0.7167,0.7826,0.3243,0.4586,0.3087,0.3637,500
0.532,0.4,0.7174,0.165,0.2683,0.0253,0.0458,1000
0.488,0.54,0.413,0.1462,0.2159,-0.0137,-0.0174,2000
0.4796,0.7067,0.1522,0.125,0.1373,-0.0374,-0.0377,5000
0.4712,0.8433,0,0,0,0,0,2
0.5833,0.8267,0.0851,0.3077,0.1333,0.0702,0.0884,5
0.6994,0.7333,0.5532,0.3059,0.3939,0.2407,0.2581,10
0.6987,0.71,0.6809,0.3077,0.4238,0.2653,0.3027,20
0.722,0.6733,0.7447,0.2893,0.4167,0.2467,0.2999,50
0.7503,0.6867,0.8085,0.3089,0.4471,0.285,0.3492,100
0.7058,0.7033,0.766,0.3158,0.4472,0.2896,0.3427,200
0.7139,0.7067,0.766,0.3186,0.45,0.2937,0.3463,300
0.6988,0.71,0.7447,0.3182,0.4459,0.29,0.3381,400
0.6839,0.7033,0.7234,0.3091,0.4331,0.2737,0.3191,500
0.4894,0.43,0.5957,0.1556,0.2467,-0.0023,-0.0037,1000
0.488,0.5167,0.4468,0.15,0.2246,-0.013,-0.0172,2000
0.469,0.7033,0.1277,0.1111,0.1188,-0.0585,-0.0587,5000
0.5111,0.8033,0.0213,0.0714,0.0328,-0.0422,-0.0519,2
0.7189,0.7433,0.617,0.3295,0.4296,0.2832,0.3064,5
0.703,0.74,0.3617,0.2615,0.3036,0.1488,0.1517,10
0.7611,0.7133,0.6809,0.3107,0.4267,0.2695,0.3064,20
0.7817,0.7233,0.766,0.3333,0.4645,0.315,0.3645,50
0.7918,0.72,0.7872,0.3333,0.4684,0.3183,0.3725,100
0.753,0.7033,0.7447,0.3125,0.4403,0.2817,0.3309,200
0.7409,0.7033,0.7021,0.3056,0.4258,0.2654,0.3072,300
0.7364,0.7233,0.7234,0.3269,0.4503,0.2991,0.3412,400
0.7359,0.73,0.7447,0.3365,0.4636,0.316,0.3605,500
0.6333,0.52,0.766,0.213,0.3333,0.1168,0.1761,1000
0.4692,0.5333,0.383,0.1395,0.2045,-0.0326,-0.0409,2000
0.474,0.7,0.1489,0.1228,0.1346,-0.0448,-0.0451,5000
0.542,0.3833,0.6977,0.1485,0.2449,0.0112,0.0212,2
0.5525,0.7233,0.186,0.1429,0.1616,-6e-04,-7e-04,5
0.6972,0.6833,0.5581,0.24,0.3357,0.1691,0.1951,10
0.7308,0.6633,0.7209,0.2583,0.3804,0.2146,0.268,20
0.7371,0.6633,0.6977,0.2542,0.3727,0.2058,0.2548,50
0.7662,0.6667,0.7442,0.2645,0.3902,0.2267,0.2842,100
0.7307,0.6267,0.7907,0.2482,0.3778,0.2041,0.2743,200
0.7238,0.6167,0.814,0.2465,0.3784,0.203,0.2791,300
0.7203,0.6,0.814,0.2381,0.3684,0.1884,0.2651,400
0.6836,0.5867,0.7907,0.2282,0.3542,0.1694,0.2405,500
0.5279,0.4067,0.6977,0.1538,0.2521,0.0225,0.0409,1000
0.5282,0.5567,0.4884,0.1591,0.24,0.0303,0.0399,2000
0.4996,0.7067,0.2093,0.1429,0.1698,-7e-04,-7e-04,5000
0.5636,0.87,0,0,0,0,0,2
0.6509,0.79,0.3333,0.26,0.2921,0.1711,0.1729,5
0.7544,0.7,0.7949,0.2743,0.4079,0.266,0.3336,10
0.7574,0.6867,0.8462,0.2727,0.4125,0.2687,0.3489,20
0.7839,0.3767,0.9744,0.1696,0.289,0.0867,0.2024,50
0.7731,0.58,0.8974,0.2229,0.3571,0.188,0.2895,100
0.7461,0.5367,0.8462,0.1988,0.322,0.1411,0.2277,200
0.7548,0.64,0.8718,0.2482,0.3864,0.2307,0.3222,300
0.7386,0.5633,0.8974,0.216,0.3483,0.1755,0.2772,400
0.6928,0.5167,0.8462,0.1919,0.3128,0.128,0.2132,500
0.6145,0.5167,0.7436,0.1768,0.2857,0.0958,0.1529,1000
0.5993,0.6633,0.5128,0.1961,0.2837,0.1177,0.141,2000
0.5533,0.83,0.1795,0.2692,0.2154,0.1243,0.1275,5000
0.5396,0.8067,0.02,0.1,0.0333,-0.0235,-0.0332,2
0.6646,0.69,0.56,0.2828,0.3758,0.1983,0.2188,5
0.7071,0.76,0.46,0.3382,0.3898,0.2448,0.2492,10
0.6957,0.69,0.64,0.2991,0.4076,0.2335,0.2645,20
0.725,0.61,0.74,0.2624,0.3874,0.1875,0.2419,50
0.7584,0.6667,0.72,0.2951,0.4186,0.2386,0.2853,100
0.6603,0.6433,0.66,0.2683,0.3815,0.1894,0.2273,200
0.6638,0.65,0.68,0.2764,0.3931,0.2045,0.2455,300
0.6682,0.6433,0.68,0.272,0.3886,0.1975,0.2389,400
0.6891,0.6567,0.66,0.2773,0.3905,0.2036,0.2407,500
0.5886,0.43,0.78,0.196,0.3133,0.0639,0.1104,1000
0.49,0.5233,0.44,0.1606,0.2353,-0.0118,-0.015,2000
0.44,0.68,0.08,0.0741,0.0769,-0.1163,-0.1164,5000
0.5694,0.8367,0.093,0.2857,0.1404,0.0752,0.0899,2
0.7198,0.6967,0.6279,0.2647,0.3724,0.2139,0.2486,5
0.7396,0.7167,0.6047,0.2766,0.3796,0.2276,0.2569,10
0.7344,0.7333,0.6744,0.3053,0.4203,0.2778,0.3146,20
