"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.636,0.3033,0.8333,0.0679,0.1255,0.0164,0.0554,20
0.6248,0.45,0.6667,0.0702,0.127,0.0207,0.0493,50
0.6178,0.51,0.6667,0.0784,0.1404,0.0369,0.0792,100
0.5319,0.5733,0.5,0.0703,0.1233,0.0202,0.0375,200
0.5559,0.6267,0.5,0.0804,0.1385,0.0391,0.0662,300
0.5762,0.66,0.5,0.0882,0.15,0.0535,0.0853,400
0.6082,0.72,0.5,0.1071,0.1765,0.0862,0.1238,500
0.5472,0.7833,0.2778,0.0877,0.1333,0.0464,0.0565,1000
0.581,0.8967,0.2222,0.1905,0.2051,0.1502,0.1507,2000
0.5,0.94,0,0,0,0,0,5000
0.4895,0.93,0,0,0,0,0,2
0.6538,0.59,0.5238,0.0887,0.1517,0.0364,0.0616,5
0.7839,0.6467,0.8095,0.1429,0.2429,0.1406,0.2315,10
0.8201,0.66,0.8095,0.1478,0.25,0.1493,0.2405,20
0.8455,0.5533,0.9524,0.1307,0.2299,0.1218,0.2428,50
0.7649,0.5367,0.9524,0.1266,0.2235,0.114,0.2339,100
0.7221,0.5533,0.9048,0.1258,0.2209,0.1118,0.2203,200
0.7135,0.5867,0.8571,0.1295,0.225,0.1177,0.2167,300
0.6908,0.6367,0.7619,0.1333,0.227,0.1224,0.2027,400
0.7011,0.65,0.7619,0.1379,0.2336,0.1305,0.2114,500
0.6338,0.73,0.5238,0.1341,0.2136,0.1149,0.1542,1000
0.457,0.85,0,0,0,-0.0807,-0.0809,2000
0.4982,0.9267,0,0,0,-0.0064,-0.0159,5000
0.5462,0.2233,0.9048,0.076,0.1402,0.0127,0.0526,2
0.6933,0.23,0.9048,0.0766,0.1413,0.014,0.0566,5
0.7489,0.33,0.9048,0.0872,0.159,0.0359,0.1096,10
0.7885,0.3633,0.9524,0.0952,0.1732,0.0526,0.1511,20
0.7296,0.44,0.9524,0.107,0.1923,0.076,0.1863,50
0.7289,0.57,0.9048,0.1301,0.2275,0.1198,0.2295,100
0.7231,0.6567,0.8095,0.1466,0.2482,0.1471,0.2382,200
0.7169,0.69,0.7619,0.1538,0.256,0.1579,0.2394,300
0.7404,0.7233,0.7619,0.1702,0.2783,0.185,0.2653,400
0.722,0.7333,0.7143,0.1685,0.2727,0.1798,0.2508,500
0.608,0.8033,0.381,0.1481,0.2133,0.1251,0.1435,1000
0.4969,0.8833,0.0476,0.0625,0.0541,-0.0069,-0.007,2000
0.4982,0.9267,0,0,0,-0.0064,-0.0159,5000
0.5614,0.9233,0,0,0,0,0,2
0.6938,0.6033,0.6522,0.119,0.2013,0.0824,0.1355,5
0.7609,0.6567,0.7826,0.1552,0.259,0.1503,0.2343,10
0.7752,0.5533,0.7826,0.1224,0.2118,0.0913,0.1687,20
0.6915,0.4833,0.7826,0.1071,0.1885,0.062,0.1292,50
0.6798,0.54,0.8261,0.1242,0.2159,0.0953,0.1822,100
0.6027,0.52,0.6957,0.1046,0.1818,0.056,0.107,200
0.6227,0.5667,0.6957,0.1151,0.1975,0.076,0.1342,300
0.5676,0.5767,0.5652,0.1,0.1699,0.0456,0.0767,400
0.5733,0.5767,0.5652,0.1,0.1699,0.0456,0.0767,500
0.6107,0.7633,0.4348,0.1471,0.2198,0.1188,0.1432,1000
0.5201,0.85,0.1304,0.1071,0.1176,0.0365,0.0368,2000
0.5399,0.9233,0.087,0.5,0.1481,0.1283,0.185,5000
